iter	Logloss
0	0.6784077808
1	0.6653020188
2	0.6531102964
3	0.6420428554
4	0.6324829225
5	0.6239102913
6	0.6161908467
7	0.6093800379
8	0.6029417129
9	0.5972347164
10	0.5919356506
11	0.5875489291
12	0.5835094651
13	0.580156193
14	0.5769001188
15	0.57375709
16	0.5710881768
17	0.5686330142
18	0.5662921992
19	0.564267541
20	0.5623038767
21	0.560600279
22	0.5589868246
23	0.5576043085
24	0.5562855066
25	0.5550053229
26	0.5537082859
27	0.5526434144
28	0.5516703864
29	0.550762
30	0.5499772105
31	0.5492060345
32	0.548458013
33	0.5478509873
34	0.5472501802
35	0.5467180773
36	0.5462118821
37	0.5457927164
38	0.5453309131
39	0.5449527411
40	0.5446082587
41	0.5442775731
42	0.5439179092
43	0.5435787275
44	0.5433049795
45	0.5430257804
46	0.5427659538
47	0.5425540434
48	0.5423132462
49	0.5420564059
50	0.5418666364
51	0.5416412963
52	0.541416268
53	0.5412192106
54	0.5410079283
55	0.5408588401
56	0.5406950387
57	0.5405590512
58	0.5403877672
59	0.5402262522
60	0.5401223135
61	0.5400140288
62	0.5398631896
63	0.5397120879
64	0.539563674
65	0.5394222612
66	0.5392886953
67	0.539192045
68	0.5390876771
69	0.5389736761
70	0.5389067745
71	0.538811259
72	0.5387160875
73	0.5386344106
74	0.538550968
75	0.5384612538
76	0.5383634103
77	0.5382843287
78	0.5382035006
79	0.5381356295
80	0.5380242537
81	0.5379212564
82	0.5378755741
83	0.537784137
84	0.5377574284
85	0.5376951579
86	0.5376079877
87	0.5375529232
88	0.537472374
89	0.5373587488
90	0.5372975772
91	0.5372680881
92	0.5372257919
93	0.5371300136
94	0.537093369
95	0.5370428572
96	0.5369648081
97	0.53688464
98	0.5368387411
99	0.536753955
100	0.5366685925
101	0.5366147232
102	0.5365585041
103	0.5364965428
104	0.5364472641
105	0.5364054732
106	0.5363527046
107	0.5363190604
108	0.5362601769
109	0.5362027559
110	0.5361558445
111	0.5361077259
112	0.5360785452
113	0.5360233051
114	0.5359697994
115	0.535920793
116	0.5358670997
117	0.5358106219
118	0.5357327554
119	0.5356928048
120	0.5356375655
121	0.5355863006
122	0.5355698782
123	0.5355366165
124	0.5354885197
125	0.5354669442
126	0.5354268267
127	0.5353726866
128	0.5353230375
129	0.5352817216
130	0.5352506838
131	0.5352402727
132	0.535192261
133	0.5351517853
134	0.5350996694
135	0.5350549388
136	0.5350191925
137	0.5349465615
138	0.5349140809
139	0.5348747346
140	0.5348394843
141	0.5347857847
142	0.5347678015
143	0.5347394496
144	0.5347093417
145	0.5346621146
146	0.5346163633
147	0.5345737607
148	0.534533128
149	0.5345146332
150	0.5344771257
151	0.5343956377
152	0.5343411544
153	0.5342753186
154	0.534271259
155	0.5342439567
156	0.5342237935
157	0.5341525547
158	0.5341078455
159	0.5340714772
160	0.5340191877
161	0.5339820306
162	0.5339567659
163	0.5339353133
164	0.5339052656
165	0.5338799734
166	0.5338283889
167	0.5337923446
168	0.5337594699
169	0.5337203134
170	0.5337060129
171	0.533667692
172	0.533635299
173	0.5335935761
174	0.5335706764
175	0.5335209139
176	0.5334955341
177	0.5334532393
178	0.5334270384
179	0.533372888
180	0.5333428675
181	0.5333062544
182	0.5332823091
183	0.533259475
184	0.5331944821
185	0.5331477032
186	0.5330950512
187	0.5330748198
188	0.5330509053
189	0.5330131022
190	0.5329751958
191	0.5329001085
192	0.5328760866
193	0.5328361326
194	0.5327971049
195	0.5327675584
196	0.5327258991
197	0.5326984528
198	0.5326643434
199	0.5326173169
